disease_id	DduftC	DgaG	D<soD	Dso>D
Q12214	0	55	3	1
Q1223924	0	0	1	0
Q1224295	0	0	0	1
Q12244913	0	0	0	1
Q12252367	0	5	4	2
Q1227160	0	0	0	1
Q1229345	0	0	0	1
Q123251	0	0	0	1
Q1233526	0	0	8	1
Q1235785	0	0	0	1
Q1238645	0	0	0	2
Q12397809	0	0	0	1
Q12412172	0	0	0	3
Q124292	2	0	2	1
Q1243807	0	0	0	1
Q124407	3	27	0	1
Q124604	1	0	0	1
Q1246050	0	0	0	2
Q1250362	0	0	0	1
Q1251847	0	0	0	1
Q125466	0	0	0	1
Q1255956	0	0	0	3
Q1257011	0	1	2	1
Q1258463	0	0	0	1
Q1258666	0	0	0	1
Q1262161	0	0	0	1
Q1262684	0	0	1	1
Q1263039	0	0	0	1
Q1264268	0	0	0	1
Q12656487	1	0	0	1
Q1266418	0	0	0	1
Q1266519	3	0	1	1
Q1266890	1	0	17	1
Q126691	0	2	0	2
Q1269251	0	0	1	1
Q1269276	0	0	0	1
Q1269307	0	0	8	1
Q1269351	0	0	0	1
Q12735648	0	0	3	1
Q127556	0	0	0	2
Q1276885	0	0	0	1
Q127724	0	0	52	1
Q12811075	0	0	0	1
Q1282114	0	0	6	1
Q1283054	0	0	0	1
Q128581	38	34	19	2
Q1286320	0	0	0	2
Q1286499	0	0	0	1
Q1286848	0	0	0	1
Q1290616	0	0	1	1
Q129104	4	2	3	2
Q129279	2	0	2	2
Q1294912	0	0	2	1
Q1300720	0	0	0	2
Q13026837	0	0	0	1
Q13038909	0	0	0	1
Q130555	0	0	0	1
Q1306218	0	0	2	1
Q1307866	0	0	2	1
Q1313510	0	0	0	1
Q1317319	0	0	0	1
Q131742	0	0	6	1
Q131749	0	12	1	1
Q131755	12	46	3	1
Q1318384	0	0	4	1
Q1321884	0	0	5	1
Q1323002	0	0	0	2
Q1324103	0	0	0	1
Q1324237	0	0	2	1
Q1327273	0	0	4	1
Q1327700	0	0	0	1
Q1327712	0	0	0	1
Q1327842	0	0	0	1
Q1328833	2	0	0	1
Q132971	0	1	0	3
Q133087	8	2	0	1
Q1331116	0	0	3	2
Q1331905	0	0	0	2
Q1332427	0	0	3	1
Q1332448	0	0	0	1
Q1333608	0	0	8	1
Q1334408	0	0	18	1
Q1335642	0	0	0	1
Q13365776	0	0	1	2
Q133696	0	0	6	1
Q133772	1	18	4	1
Q133780	0	0	5	1
Q133823	1	9	2	1
Q1339466	0	0	0	1
Q1339986	0	0	0	1
Q134003	0	0	15	1
Q1340774	0	0	3	1
Q1342955	0	0	3	2
Q1343593	0	0	0	1
Q1343645	0	1	0	1
Q1343674	4	0	3	1
Q1344603	0	0	0	1
Q1344812	2	0	2	1
Q1344835	4	0	3	1
Q1345113	0	0	1	1
Q13452408	0	2	16	2
Q1345746	0	0	1	1
Q1345792	0	0	0	1
Q1346016	2	0	0	2
Q134649	0	0	3	1
Q1347065	0	0	0	1
Q1347256	0	0	2	1
Q1348374	0	0	0	1
Q134859	3	0	1	1
Q1349259	1	0	0	1
Q13512178	0	0	0	2
Q13566985	0	0	5	1
Q13581332	0	0	0	2
Q1359898	2	0	0	1
Q1360044	0	0	3	1
Q1361346	0	0	3	1
Q1361850	0	0	0	1
Q1362453	1	0	10	1
Q1362721	0	0	0	1
Q13629899	0	0	0	2
Q1363508	0	0	0	2
Q13637039	0	0	0	1
Q1363732	0	0	0	1
Q13641482	0	0	2	0
Q1364270	0	5	22	2
Q1364801	0	0	1	0
Q1365309	0	3	8	1
Q1365789	0	0	0	1
Q1365937	0	0	0	1
Q1367782	0	0	4	0
Q1369011	1	0	0	1
Q1369020	0	0	0	1
Q1374020	0	0	0	1
Q1378675	0	0	0	2
Q1378921	0	0	0	1
Q1383947	0	0	0	1
Q1384176	0	0	2	1
Q1385411	0	0	1	0
Q138885	0	0	0	1
Q1393463	0	0	3	1
Q1393718	0	0	0	2
Q1393725	0	0	0	1
Q1396345	0	0	0	1
Q1396859	0	0	0	1
Q1398913	0	0	0	1
Q1399182	0	0	0	1
Q1401065	0	0	0	1
Q1402851	0	0	3	2
Q1403045	0	0	0	1
Q1404470	0	0	0	1
Q1409081	0	0	0	3
Q1409160	0	0	1	1
Q1410673	0	0	0	1
Q1410808	0	0	3	1
Q1410831	0	0	0	1
Q1410864	0	0	1	1
Q1411740	2	0	10	1
Q1413860	0	0	0	1
Q1414480	0	0	0	1
Q1414765	0	0	0	1
Q1415842	0	0	0	2
Q1416773	0	0	1	1
Q1417240	0	0	4	1
Q1418152	0	0	0	1
Q1418735	0	0	11	1
Q1419225	0	0	0	1
Q1419261	0	0	0	2
Q1419862	0	0	0	1
Q1419931	0	0	0	2
Q1421738	0	0	10	3
Q1422034	0	0	0	1
Q1423087	0	0	0	1
Q1423167	0	0	1	1
Q1423177	0	0	2	2
Q1423538	0	0	0	1
Q1424106	0	0	1	1
Q1424488	0	0	3	1
Q1424509	0	1	0	1
Q1424612	0	0	0	1
Q1424956	2	0	0	2
Q1425185	0	0	0	1
Q1426491	0	0	1	2
Q1427032	0	0	0	2
Q1427959	0	0	0	1
Q1428132	0	0	3	1
Q1428695	0	0	8	1
Q1429863	0	0	8	1
Q1430844	0	0	0	1
Q1431371	0	0	0	1
Q1431933	0	0	0	1
Q1432397	0	0	1	1
Q1432717	0	0	0	1
Q1433212	0	0	10	1
Q1433936	2	0	0	1
Q1434446	0	0	0	1
Q1434575	0	0	0	1
Q1435202	0	0	0	1
Q1435223	1	0	0	2
Q1435822	8	0	4	1
Q1436063	0	0	4	1
Q1436162	0	0	0	3
Q1436558	0	0	0	1
Q1437103	0	0	1	1
Q1437472	0	0	0	2
