hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
wikidata-v0.1	C<hpC<hpC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpChp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpChp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpChp>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpChp>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCio>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCio>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCio>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCio>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<hpCsdiCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<hpCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<hpCsdiCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<hpCsdiCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<hpCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<hpCsdiCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioC<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioC<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioC<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioC<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioC<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioChp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioChp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioChp>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioChp>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCio>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCio>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCio>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCio>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpC<ioCsdiCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpC<ioCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpC<ioCsdiCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpC<ioCsdiCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpC<ioCsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpC<ioCsdiCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftD	0.00013473	0.50034	0.60027	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftD	3.4126e-05	0.49998	0.05066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftD<soD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftD<soD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftD<soD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftD<soD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftD<soD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftD<soD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftD<soDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftD<soDso>D	3.4126e-05	0.49998	0.05066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftD<soDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftD<soDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftD<soDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftD<soDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftDduftCduftD	0.00020209	0.50029	0.43372	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftDduftCduftD	0.00081903	0.50011	0.11314	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftDduftCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftDduftCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftDduftCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftDduftCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftDgaGgaD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftDgaGgaD	6.8252e-05	0.49996	0.05066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftDgaGgaD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftDgaGgaD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftDgaGgaD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftDgaGgaD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftDso>D	3.4126e-05	0.49998	0.05066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftDso>D<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftDso>D<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftDso>D<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftDso>D<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftDso>D<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftDso>D<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCduftDso>Dso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCduftDso>Dso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCduftDso>Dso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCduftDso>Dso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCduftDso>Dso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCduftDso>Dso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>C<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>C<hpCduftD	6.8252e-05	0.49996	0.05066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>C<hpCduftD	0.00010244	0.50032	0.3843	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>C<hpCduftD	3.4133e-05	0.49998	0.050671	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>C<hpCduftD	6.8245e-05	0.50015	0.30064	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>C<hpCduftD	6.8381e-05	0.49996	0.050756	dwpc	1
wikidata-v0.1	C<hpChp>C<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>C<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>C<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>C<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>C<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>C<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>CduftD<soD	6.7363e-05	0.49996	0.1	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>CduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>CduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>CduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>CduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>CduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>CduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>CduftDso>D	0	0.5	0.55066	dwpc	1
