compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
15	14	0.0710721	5.2288e-05	3	36
15	15	0.0758555	6.64042e-05	3	24
15	16	0.0806957	8.39043e-05	1	16
15	17	0.0853481	6.00954e-05	6	32
15	18	0.0900649	0.000125373	1	8
15	19	0.0947672	0.000104447	2	12
15	20	0.0996495	9.21055e-05	2	16
15	21	0.104319	0.000190017	0	4
15	22	0.108614	0.000136365	1	8
15	24	0.117906	0.000200374	0	4
15	25	0.122157	0.000203542	0	4
15	26	0.12675	0.000206884	2	4
15	27	0.131227	0.000147854	3	8
15	34	0.161854	0.000161333	0	8
15	38	0.178255	0.000238205	0	4
15	39	0.182526	0.000240069	0	4
15	50	0.225288	0.000260169	0	4
15	55	0.244709	0.000267684	0	4
15	57	0.251339	0.000270032	1	4
15	61	0.266074	0.000274975	1	4
15	82	0.334613	0.000293836	0	4
16	1	0.00569035	2.85425e-06	3	972
16	2	0.0113423	6.43031e-06	3	388
16	3	0.0169412	9.48891e-06	4	264
16	4	0.0225097	1.4149e-05	7	160
16	5	0.0279995	1.92181e-05	4	108
16	6	0.0335073	2.04917e-05	1	112
16	7	0.0389368	2.61948e-05	6	80
16	8	0.044298	2.77996e-05	5	80
16	9	0.0497107	4.43641e-05	0	36
16	10	0.0550244	4.19618e-05	5	44
16	11	0.0601291	0.000104268	0	8
16	12	0.0654291	6.81112e-05	2	20
16	13	0.0707122	7.05036e-05	1	20
16	14	0.0758023	5.37147e-05	4	36
16	15	0.0809482	6.82761e-05	4	24
16	16	0.086157	8.64829e-05	1	16
16	17	0.0911504	6.19986e-05	3	32
16	18	0.0962041	0.000128959	1	8
16	19	0.101162	0.000107478	0	12
16	20	0.10602	9.46472e-05	0	16
16	21	0.110684	0.000194968	0	4
16	22	0.115636	0.000140113	1	8
16	24	0.124952	0.000205751	0	4
16	25	0.129856	0.000208704	0	4
16	26	0.13485	0.000212426	0	4
16	27	0.139377	0.00015152	0	8
16	34	0.171004	0.00016462	2	8
16	38	0.188659	0.000243331	0	4
16	39	0.192995	0.000245391	2	4
16	50	0.237645	0.000265076	1	4
16	55	0.257523	0.000272272	2	4
16	57	0.264596	0.000274474	1	4
16	61	0.28003	0.000279566	1	4
16	82	0.35047	0.000297357	0	4
19	1	0.00686265	6.31014e-06	1	243
19	2	0.0136347	1.41824e-05	0	97
19	3	0.0203582	2.09192e-05	4	66
19	4	0.0269868	3.11134e-05	1	40
19	5	0.0335744	4.23427e-05	1	27
19	6	0.0401351	4.50551e-05	2	28
19	7	0.0464689	5.7438e-05	3	20
19	8	0.052976	6.1006e-05	0	20
19	9	0.0593324	9.72196e-05	1	9
19	10	0.0657239	9.19735e-05	0	11
19	11	0.0721962	0.000228649	0	2
19	12	0.0778252	0.000148938	0	5
19	13	0.0840848	0.000154039	0	5
19	14	0.090129	0.000117157	0	9
19	15	0.096028	0.000148702	0	6
19	16	0.102136	0.000188087	0	4
19	17	0.107608	0.000134548	0	8
19	18	0.113676	0.000280166	1	2
19	19	0.119144	0.000232682	0	3
19	20	0.124988	0.000204898	1	4
19	21	0.130384	0.000421601	0	1
19	22	0.136181	0.000302715	0	2
19	24	0.146849	0.000443174	1	1
19	25	0.153375	0.000451179	0	1
19	26	0.158374	0.000457118	0	1
19	27	0.163214	0.000326246	0	2
19	34	0.199895	0.000352481	0	2
19	38	0.2198	0.000518493	0	1
19	39	0.223598	0.000521679	0	1
19	50	0.273536	0.000558136	1	1
19	55	0.293986	0.000570422	1	1
19	57	0.302861	0.000575317	0	1
19	61	0.319603	0.000583865	0	1
19	82	0.394191	0.000611853	1	1
30	1	0.0113802	8.06712e-06	2	243
30	2	0.0225354	1.8073e-05	3	97
30	3	0.0335138	2.66292e-05	3	66
30	4	0.044271	3.9399e-05	0	40
30	5	0.0548067	5.34122e-05	2	27
30	6	0.0652099	5.66015e-05	1	28
30	7	0.0753443	7.19537e-05	1	20
30	8	0.0854232	7.5982e-05	2	20
30	9	0.0949698	0.000120836	2	9
30	10	0.104666	0.000113454	3	11
30	11	0.114486	0.000281549	1	2
30	12	0.123534	0.000182619	0	5
30	13	0.132538	0.000188254	1	5
30	14	0.141546	0.000142744	1	9
30	15	0.150378	0.00018052	0	6
30	16	0.15878	0.000226974	1	4
30	17	0.167711	0.000162186	1	8
30	18	0.175842	0.000336309	0	2
30	19	0.184417	0.000278575	1	3
30	20	0.192598	0.000244465	1	4
30	21	0.199922	0.000500752	0	1
30	22	0.208709	0.000358937	0	2
30	24	0.22447	0.000522402	0	1
30	25	0.23077	0.000527526	0	1
30	26	0.238187	0.000533346	0	1
30	27	0.246334	0.000380038	0	2
30	34	0.293043	0.000401431	1	2
30	38	0.318417	0.000583288	0	1
30	39	0.324077	0.000586002	0	1
30	50	0.385564	0.000609414	1	1
30	55	0.410247	0.000615863	0	1
30	57	0.418527	0.000617664	0	1
30	61	0.436388	0.000620944	1	1
30	82	0.518469	0.000625604	1	1
